household_key,frequency,recency,T,monetary_value,gasto_esperado,prob_vivo,clv_12m,nivel_valor,estado,segmento
1235,16.0,591.0,595.0,53.595625,53.48527442021432,0.9993616140782193,519.3036629289197,Bajo,Activo,Bajo · Activo
1236,164.0,606.0,608.0,23.929756097560976,23.95017163623124,0.9998998943565978,2158.1144927534556,Alto,Activo,Alto · Activo
1237,19.0,507.0,597.0,53.53578947368421,53.44324566594649,0.987294427879574,598.7151429574096,Bajo,En riesgo,Bajo · En riesgo
1238,45.0,701.0,708.0,101.75311111111112,101.52902255476046,0.9996688767550777,2211.6185191772406,Alto,Activo,Alto · Activo
1239,24.0,615.0,618.0,85.05958333333334,84.76039017988428,0.9995632658816336,1156.3514516735447,Medio,Activo,Medio · Activo
1240,178.0,612.0,612.0,62.964438202247194,62.94531720744475,0.9999460036944495,6112.643757036876,Alto,Activo,Alto · Activo
1241,74.0,704.0,705.0,26.300135135135136,26.339789268998278,0.999856782087384,935.942714118998,Medio,Activo,Medio · Activo
1242,29.0,591.0,597.0,28.43344827586207,28.521608346994206,0.9995640800046708,481.56964471628606,Bajo,Activo,Bajo · Activo
1243,13.0,449.0,566.0,18.74692307692308,19.069476928715655,0.9819463410360317,158.236555398876,Bajo,En riesgo,Bajo · En riesgo
1244,30.0,627.0,631.0,16.742,16.89432697377022,0.9996203921720817,279.0455747020146,Bajo,Activo,Bajo · Activo
1245,211.0,642.0,642.0,21.08184834123223,21.100055082178084,0.9999544089036956,2314.5165208075823,Alto,Activo,Alto · Activo
1246,91.0,664.0,673.0,58.316813186813185,58.288272434383124,0.9996422333602439,2655.7762634750347,Alto,Activo,Alto · Activo
1247,110.0,601.0,603.0,60.168454545454544,60.14192588034585,0.999874700697416,3680.2874943123065,Alto,Activo,Alto · Activo
1248,139.0,652.0,661.0,64.4984892086331,64.472101531702,0.9995407464607505,4541.586150650947,Alto,Activo,Alto · Activo
1249,20.0,596.0,603.0,24.505000000000003,24.666208624374796,0.9994111903751526,290.527797916867,Bajo,Activo,Bajo · Activo
1250,5.0,618.0,630.0,38.25,38.41861163690978,0.9981790516962998,130.38794964828205,Bajo,En riesgo,Bajo · En riesgo
1251,47.0,599.0,656.0,6.835744680851064,6.969536260697944,0.9848931681317357,168.16072855696711,Bajo,En riesgo,Bajo · En riesgo
1252,43.0,659.0,676.0,26.454186046511627,26.521695589258393,0.9993304098006442,578.3833454582335,Bajo,Activo,Bajo · Activo
1253,10.0,520.0,609.0,49.051,48.952913141614744,0.9948202730289025,303.5842020893023,Bajo,En riesgo,Bajo · En riesgo
1254,5.0,580.0,653.0,41.354,41.41872277424304,0.9965819983720394,135.48983807067583,Bajo,En riesgo,Bajo · En riesgo
1255,24.0,634.0,651.0,20.444166666666668,20.60778561281551,0.9992499417912419,267.0618567717434,Bajo,Activo,Bajo · Activo
1256,156.0,686.0,691.0,33.51243589743589,33.523273367480705,0.9998101419577369,2534.949875584511,Alto,Activo,Alto · Activo
1257,30.0,617.0,621.0,45.84,45.82535473881484,0.9996192039640579,768.8633401540857,Medio,Activo,Medio · Activo
1258,211.0,705.0,705.0,16.564123222748815,16.586034064305927,0.9999544089036956,1659.455944800608,Medio,Activo,Medio · Activo
1259,29.0,574.0,603.0,38.89379310344828,38.91987135276135,0.9985928639191836,650.0920745835671,Medio,Activo,Medio · Activo
1260,128.0,687.0,687.0,85.159296875,85.10273507923978,0.9999250743866333,5321.857727800832,Alto,Activo,Alto · Activo
1261,179.0,657.0,663.0,21.007206703910615,21.028737264955286,0.9997301105542012,1897.8738352711835,Alto,Activo,Alto · Activo
1262,19.0,620.0,667.0,39.85473684210526,39.88573880561627,0.9978984245592925,405.05769638889365,Bajo,En riesgo,Bajo · En riesgo
1263,110.0,664.0,693.0,47.39845454545455,47.391994468305704,0.9905893383177053,2506.246473384698,Alto,En riesgo,Alto · En riesgo
1264,117.0,652.0,662.0,55.08401709401709,55.06658632228932,0.999517014174113,3266.556269399784,Alto,Activo,Alto · Activo
1265,44.0,593.0,593.0,31.17068181818182,31.21817622143426,0.9997852035244627,792.0100412426809,Medio,Activo,Medio · Activo
1266,105.0,683.0,694.0,15.76295238095238,15.80826525499846,0.9995131751901053,804.5450452200153,Medio,Activo,Medio · Activo
1267,63.0,630.0,632.0,26.437619047619048,26.483801134097295,0.9998153622914194,895.0031693290409,Medio,Activo,Medio · Activo
1268,61.0,625.0,630.0,48.462459016393446,48.447812874265495,0.9997456694162993,1591.3001069343293,Medio,Activo,Medio · Activo
1269,85.0,642.0,642.0,30.38129411764706,30.40753070914494,0.9998876102180508,1357.3130204808833,Medio,Activo,Medio · Activo
1270,62.0,614.0,620.0,54.681774193548385,54.650043880166955,0.9997185644404921,1852.569995606905,Alto,Activo,Alto · Activo
1271,122.0,593.0,594.0,34.053442622950826,34.06652938575193,0.9999035990571195,2343.4488367399103,Alto,Activo,Alto · Activo
1272,246.0,678.0,678.0,40.535731707317076,40.53766732236333,0.9999608692622685,4908.9212620874805,Alto,Activo,Alto · Activo
1273,14.0,603.0,608.0,14.992142857142856,15.33780768526186,0.9992693866786723,129.08729651277343,Bajo,Activo,Bajo · Activo
1274,248.0,654.0,656.0,50.152741935483874,50.14795250113506,0.9999178542300659,6323.167289209469,Alto,Activo,Alto · Activo
1275,5.0,222.0,642.0,20.936,21.68409996429765,0.4396412589117377,31.81870080087286,Bajo,En riesgo,Bajo · En riesgo
1276,15.0,593.0,601.0,37.626666666666665,37.691266134285854,0.9992496270734111,341.5844712764598,Bajo,Activo,Bajo · Activo
1277,224.0,615.0,616.0,26.30736607142857,26.320481022180193,0.9999384198066499,3190.6544195563574,Alto,Activo,Alto · Activo
1278,17.0,603.0,609.0,41.68176470588236,41.69795687104193,0.999357292881693,418.38404052479416,Bajo,Activo,Bajo · Activo
