COMMODITY_DESC,encarecido,normal,rebajado,efecto_rebaja_pct,n_total,n_rebajado
WAREHOUSE SNACKS,1.2544378698224852,1.1710067426179958,1.357429718875502,15.919889226318574,9020,249
CAT FOOD,2.0232945091514143,1.7186654643823265,1.990729736154029,15.829972581050278,16177,4207
FITNESS&DIET,2.090909090909091,1.9375238095238094,2.2427184466019416,15.75178769819303,3018,206
ISOTONIC DRINKS,1.4866573033707866,1.3561290322580646,1.5620658411356085,15.185635288306054,10160,3311
MARGARINES,1.2609832635983265,1.1548907695335564,1.3191397849462365,14.222038979410833,14399,2325
FLORAL-FRESH CUT,1.1448412698412698,1.268181818181818,1.4474576271186441,14.136443715448642,2414,590
AIR CARE,1.3370098039215685,1.2112380508276988,1.3569739952718676,12.03198201580442,5528,423
BATH,1.0864197530864197,1.061381074168798,1.1864406779661016,11.78272411680621,1313,59
BUTTER,1.2234113712374581,1.1605026929982047,1.2852233676975946,10.747124970228983,5153,873
TEAS,1.0883190883190883,1.0700412007062978,1.183206106870229,10.575752231711721,4011,262
SINUS AND ALLERGY,1.0458715596330275,1.067100977198697,1.1779661016949152,10.3893752198837,1762,118
ELECTRICAL SUPPPLIES,1.3076923076923077,1.2369534555712272,1.3582089552238805,9.802753620721916,3260,268
SEAFOOD - SHELF STABLE,2.6236462093862816,2.388727217031705,2.619865571321882,9.676213869970285,8976,1339
FRZN FRUITS,1.3361344537815125,1.1885714285714286,1.2996575342465753,9.34618677555321,1410,584
VEGETABLES - SHELF STABLE,2.0012132524498365,1.781305114638448,1.9462166743720142,9.257906373161596,41585,6489
FROZEN PIZZA,1.4955280087870704,1.5213039309683605,1.6621172998893396,9.25609709240327,43292,10844
TICKETS,1.4324324324324325,1.1736111111111112,1.2804878048780488,9.10665319670947,715,246
LIQUOR,1.0791139240506329,1.0859010270774976,1.1842105263157894,9.053265149115264,2686,228
NON-DAIRY BEVERAGES,1.4444444444444444,1.5213483146067415,1.6571428571428573,8.925933741295644,623,70
BOOKSTORE,1.0135135135135136,1.037405026300409,1.1285714285714286,8.787927565392351,1855,70
HOUSEHOLD CLEANG NEEDS,1.1533586818757922,1.1169972948602345,1.2130718954248365,8.601148902211397,10426,765
PEPPERS-ALL,1.3012226750648388,1.335707925200356,1.4504301515772224,8.588870681414718,9827,4882
